instance_name,instance_size,solver,replication,total_distance,total_time,feasible_solution
cvrp-2-df-112,4041,lkh-3,1,7099.2457,440.2228027039673,True
cvrp-2-df-115,4208,ortools,1,-1.0,326.08762707398273,False
cvrp-2-df-115,4208,lkh-3,1,9474.2,705.0124526160071,True
cvrp-2-df-119,3662,ortools,1,4092.2608,320.0615801110398,True
cvrp-2-df-119,3662,lkh-3,1,6850.0523,416.15915119700367,True
cvrp-2-df-113,4020,ortools,1,-1.0,324.3096310319961,False
cvrp-2-df-113,4020,lkh-3,1,8507.4643,501.65489768702537,True
cvrp-2-df-93,3389,ortools,1,-1.0,317.4273786350386,False
cvrp-2-df-93,3389,lkh-3,1,13876.6374,364.85992307798006,True
cvrp-2-df-98,3702,ortools,1,-1.0,320.7073320050258,False
cvrp-2-df-98,3702,lkh-3,1,6237.3867,419.0183432129561,True
cvrp-3-rj-106,5887,ortools,1,-1.0,408.65261660004035,False
cvrp-3-rj-106,5887,lkh-3,1,4386.034,902.7532356039737,True
cvrp-3-rj-110,5087,ortools,1,-1.0,345.73702431999845,False
cvrp-3-rj-110,5087,lkh-3,1,3882.3477,1245.0730724050081,True
cvrp-3-rj-115,6314,ortools,1,-1.0,486.0586910700076,False
cvrp-3-rj-115,6314,lkh-3,1,5301.2413,1902.0900502569857,True
cvrp-3-rj-99,6397,ortools,1,-1.0,500.03866827400634,False
cvrp-3-rj-99,6397,lkh-3,1,4023.9068,639.0444572370034,True
cvrp-3-rj-100,5857,ortools,1,-1.0,414.88095521595096,False
cvrp-3-rj-100,5857,lkh-3,1,4231.6704,588.4568220460205,True
cvrp-3-rj-102,5185,ortools,1,-1.0,349.09384064999176,False
cvrp-3-rj-102,5185,lkh-3,1,3599.6328,529.6261034010095,True
cvrp-3-rj-101,4951,ortools,1,-1.0,343.124603424978,False
cvrp-3-rj-101,4951,lkh-3,1,3906.795,948.7992440640228,True
cvrp-3-rj-107,5269,ortools,1,-1.0,348.9913435099879,False
cvrp-3-rj-107,5269,lkh-3,1,3230.172,529.4404407029506,True
cvrp-3-rj-119,5610,ortools,1,-1.0,380.6602045039763,False
cvrp-3-rj-119,5610,lkh-3,1,4302.6334,1009.1933929770021,True
cvrp-3-rj-109,5462,ortools,1,-1.0,356.1832504069898,False
cvrp-3-rj-109,5462,lkh-3,1,4451.2014,1244.034198281006,True
cvrp-3-rj-108,5365,ortools,1,-1.0,350.45828185102437,False
cvrp-3-rj-108,5365,lkh-3,1,-1.0,1579.813669071009,False
cvrp-3-rj-111,6109,ortools,1,-1.0,454.4175120849977,False
