instance_name,instance_size,solver,replication,total_distance,total_time,num_vehicles,feasible_solution
cvrp-4-rj-111,5885,ortools,1,-1.0,591.5980482759187,-1,False
cvrp-4-rj-111,5885,lkh-3,1,6678.7367,1283.4721680640941,184,True
cvrp-4-rj-92,6002,ortools,1,-1.0,617.4897629820043,-1,False
cvrp-4-rj-92,6002,lkh-3,1,7913.0433,2882.8594841309823,183,True
cvrp-4-rj-97,4919,ortools,1,-1.0,416.7229520060355,-1,False
cvrp-4-rj-97,4919,lkh-3,1,3560.6407,802.9344127790537,159,True
cvrp-4-rj-91,5969,ortools,1,-1.0,605.8770878589712,-1,False
cvrp-4-rj-91,5969,lkh-3,1,6492.5005,1636.6878229560098,187,True
cvrp-4-rj-118,6195,ortools,1,-1.0,650.9758116069715,-1,False
cvrp-4-rj-118,6195,lkh-3,1,4403.8418,1291.7900280409958,205,True
cvrp-4-rj-119,5571,ortools,1,-1.0,538.6061626790324,-1,False
cvrp-4-rj-119,5571,lkh-3,1,5912.7363,1624.4726722530322,174,True
cvrp-4-rj-102,5273,ortools,1,-1.0,474.5263505539624,-1,False
cvrp-4-rj-102,5273,lkh-3,1,3491.583,946.9623382160207,172,True
cvrp-4-rj-108,5239,ortools,1,-1.0,470.11767581896856,-1,False
cvrp-4-rj-108,5239,lkh-3,1,4651.1719,951.0689575609285,170,True
cvrp-4-rj-94,5470,ortools,1,-1.0,513.2955540129915,-1,False
cvrp-4-rj-94,5470,lkh-3,1,6609.4916,2912.9671953469515,171,True
cvrp-4-rj-96,5583,ortools,1,-1.0,531.4816416909453,-1,False
cvrp-4-rj-96,5583,lkh-3,1,3860.7278,1012.7038049770053,184,True
cvrp-4-rj-95,4646,ortools,1,-1.0,369.63228205102496,-1,False
cvrp-4-rj-95,4646,lkh-3,1,3344.1577,742.3534814299783,151,True
cvrp-4-rj-93,6047,ortools,1,-1.0,627.8852171450853,-1,False
cvrp-4-rj-93,6047,lkh-3,1,7229.0312,2507.455780202057,186,True
cvrp-4-rj-110,4832,ortools,1,-1.0,400.06594493205193,-1,False
cvrp-4-rj-110,4832,lkh-3,1,3317.5052,854.0108075409662,158,True
cvrp-4-rj-115,6161,ortools,1,-1.0,652.2797148590907,-1,False
cvrp-4-rj-115,6161,lkh-3,1,6790.4999,2001.4564791140147,191,True
cvrp-4-rj-114,6067,ortools,1,-1.0,628.4179403739981,-1,False
cvrp-4-rj-114,6067,lkh-3,1,7361.4466,3596.277673817007,186,True
cvrp-4-rj-90,5694,ortools,1,-1.0,549.5174043440493,-1,False
cvrp-4-rj-90,5694,lkh-3,1,7246.2557,3527.3096979160327,176,True
cvrp-4-rj-109,5323,ortools,1,-1.0,482.2439913479611,-1,False
cvrp-4-rj-109,5323,lkh-3,1,3821.3484,909.2488666620338,178,True
cvrp-4-rj-107,5040,ortools,1,-1.0,434.67169383796863,-1,False
cvrp-4-rj-107,5040,lkh-3,1,6720.9456,2116.6129535990767,155,True
cvrp-4-rj-106,5946,ortools,1,-1.0,598.4713942999952,-1,False
cvrp-4-rj-106,5946,lkh-3,1,7143.1684,1862.071822637925,184,True
cvrp-4-rj-105,6084,ortools,1,-1.0,631.6967701519607,-1,False
cvrp-4-rj-105,6084,lkh-3,1,7196.2476,3323.4805795550346,187,True
cvrp-4-rj-116,5403,ortools,1,-1.0,496.37418015894946,-1,False
cvrp-4-rj-116,5403,lkh-3,1,6166.4136,1581.4789238719968,168,True
cvrp-4-rj-104,4762,ortools,1,-1.0,385.67192179500125,-1,False
