instance_name,instance_size,solver,total_distance,total_time,num_vehicles,feasible_solution
cvrp-1-df-115,4720,kmeans_greedy,6593.6751,30.420235975878313,147,True
cvrp-1-df-107,5436,kmeans_greedy,7379.199,35.60607410897501,166,True
cvrp-1-df-97,3879,kmeans_greedy,5716.8343,25.675299305003136,122,True
cvrp-1-df-104,4309,kmeans_greedy,6159.2177,28.0010818450246,135,True
cvrp-1-df-116,4116,kmeans_greedy,6030.0123,123.96486983099021,130,True
cvrp-1-df-109,4888,kmeans_greedy,7142.0373,32.350205689901486,155,True
cvrp-1-df-113,4336,kmeans_greedy,6495.4051,28.69111657096073,135,True
cvrp-1-df-99,3598,kmeans_greedy,5599.4856,23.5176433918532,113,True
cvrp-1-df-90,4512,kmeans_greedy,6544.6171,30.041453579906374,140,True
cvrp-1-df-106,4704,kmeans_greedy,6795.8893,31.41305083804764,146,True
cvrp-1-df-93,3811,kmeans_greedy,5789.9841,25.215197826037183,120,True
cvrp-1-df-101,4683,kmeans_greedy,6547.4181,30.791360195027664,146,True
cvrp-1-df-96,4932,kmeans_greedy,6971.0733,32.42304555699229,155,True
cvrp-1-df-108,4690,kmeans_greedy,6570.6572,31.357521353056654,146,True
cvrp-1-df-102,5041,kmeans_greedy,7098.8824,33.46294913091697,159,True
cvrp-1-df-98,3984,kmeans_greedy,5825.7363,26.455586303956807,125,True
cvrp-1-df-110,5161,kmeans_greedy,7211.581,33.80381639418192,160,True
cvrp-1-df-95,4717,kmeans_greedy,6595.6591,31.05600759689696,147,True
cvrp-1-df-119,4157,kmeans_greedy,6099.2008,27.73148206807673,130,True
cvrp-1-df-103,5456,kmeans_greedy,7341.5528,37.28968895901926,172,True
cvrp-1-df-117,3668,kmeans_greedy,5581.5048,24.246073773130774,115,True
cvrp-1-df-94,4154,qrp_sweep,5501.2329,26.398095909971744,143,True
cvrp-1-df-114,5095,qrp_sweep,6463.9126,32.12245795689523,169,True
cvrp-1-df-91,3781,qrp_sweep,5248.9046,24.131857315078378,131,True
cvrp-1-df-111,5029,qrp_sweep,6554.5215,31.841963696060702,167,True
cvrp-1-df-118,4391,qrp_sweep,5672.2431,27.592958545777947,149,True
cvrp-1-df-112,4354,qrp_sweep,5773.8243,27.700404717121273,148,True
cvrp-1-df-92,4117,qrp_sweep,5409.7856,26.206783399917185,141,True
cvrp-1-df-105,3688,qrp_sweep,5073.3532,23.878984291106462,125,True
cvrp-1-df-100,5194,qrp_sweep,6474.4296,33.72243641898967,171,True
cvrp-1-df-115,4720,qrp_sweep,6157.6867,29.853516644099727,159,True
cvrp-1-df-107,5436,qrp_sweep,6728.6236,34.110835732892156,176,True
cvrp-1-df-97,3879,qrp_sweep,5229.7318,24.876713125035167,133,True
cvrp-1-df-104,4309,qrp_sweep,5678.4026,27.318995230831206,148,True
cvrp-1-df-116,4116,qrp_sweep,5525.5209,25.79825923102908,140,True
cvrp-1-df-109,4888,qrp_sweep,6246.7547,30.863251795992255,164,True
cvrp-1-df-113,4336,qrp_sweep,5730.0258,27.60383443417959,147,True
cvrp-1-df-99,3598,qrp_sweep,4980.6291,23.082313533872366,123,True
cvrp-1-df-90,4512,qrp_sweep,5916.9214,28.58839510497637,152,True
cvrp-1-df-106,4704,qrp_sweep,6120.776,29.65521442098543,155,True
cvrp-1-df-93,3811,qrp_sweep,5139.3661,24.256803435040638,132,True
cvrp-1-df-101,4683,qrp_sweep,5987.0777,30.01835203380324,155,True
cvrp-1-df-96,4932,qrp_sweep,6330.544,32.030236220918596,162,True
cvrp-1-df-108,4690,qrp_sweep,5994.0535,30.00622984394431,156,True
cvrp-1-df-102,5041,qrp_sweep,6485.2573,32.17373604583554,168,True
cvrp-1-df-98,3984,qrp_sweep,5305.7176,25.364972969982773,134,True
cvrp-1-df-110,5161,qrp_sweep,6344.7614,32.59986544097774,173,True
cvrp-1-df-95,4717,qrp_sweep,6058.2536,29.88803172390908,158,True
cvrp-1-df-119,4157,qrp_sweep,5485.7275,26.142940660007298,138,True
cvrp-1-df-103,5456,qrp_sweep,6844.7578,34.222212247084826,181,True
cvrp-1-df-117,3668,qrp_sweep,4899.804,23.84070152998902,128,True
cvrp-2-df-116,3807,kmeans_greedy,6459.8302,24.455648731905967,119,True
cvrp-2-df-102,4724,kmeans_greedy,7535.3507,30.694958908949047,149,True
cvrp-2-df-108,4199,kmeans_greedy,7126.6178,27.87207768089138,133,True
cvrp-2-df-101,4370,kmeans_greedy,6903.9908,28.15163875510916,139,True
cvrp-2-df-104,3891,kmeans_greedy,6328.9247,24.94444220000878,122,True
cvrp-2-df-94,3907,kmeans_greedy,6495.905,25.242467519128695,122,True
cvrp-2-df-119,3662,kmeans_greedy,6291.0098,23.576632249867544,116,True
cvrp-2-df-97,3628,kmeans_greedy,6131.6573,23.588867725804448,115,True
cvrp-2-df-113,4020,kmeans_greedy,6567.6845,25.768037041882053,124,True
cvrp-2-df-100,4723,kmeans_greedy,7494.626,30.11985015589744,150,True
cvrp-2-df-90,4265,kmeans_greedy,7046.3128,27.207362910965458,135,True
cvrp-2-df-91,3437,kmeans_greedy,5837.6623,22.239249609876424,107,True
cvrp-2-df-107,5020,kmeans_greedy,7781.5085,33.047489973017946,156,True
cvrp-2-df-106,4385,kmeans_greedy,7126.2883,28.619467457057908,140,True
cvrp-2-df-117,3283,kmeans_greedy,5903.8584,20.679482423933223,103,True
cvrp-2-df-110,4918,kmeans_greedy,7709.394,31.94341035699472,157,True
cvrp-2-df-99,3385,kmeans_greedy,5964.2424,21.49081668909639,107,True
cvrp-2-df-109,4429,kmeans_greedy,7068.3922,28.729824114125222,141,True
cvrp-2-df-118,3898,kmeans_greedy,6661.3105,25.206405139993876,122,True
cvrp-2-df-112,4041,kmeans_greedy,6603.8302,25.906325815944,127,True
cvrp-2-df-114,4792,kmeans_greedy,7344.8068,30.913198699010536,154,True
cvrp-2-df-98,3702,kmeans_greedy,6264.6918,23.913243416929618,116,True
cvrp-2-df-95,4481,kmeans_greedy,7158.8614,28.353973941877484,142,True
cvrp-2-df-105,3417,kmeans_greedy,6110.9804,22.229251141892746,107,True
cvrp-2-df-111,4633,kmeans_greedy,7637.806,29.585341040976346,145,True
cvrp-2-df-96,4313,kmeans_greedy,7000.6326,28.02007763599977,135,True
cvrp-2-df-103,5007,kmeans_greedy,7604.3341,32.44443283602595,160,True
cvrp-2-df-93,3389,kmeans_greedy,5972.108,22.296623097965494,104,True
cvrp-2-df-115,4208,kmeans_greedy,6829.1513,26.707437796983868,134,True
cvrp-2-df-92,3868,kmeans_greedy,6480.9277,25.129834876861423,122,True
cvrp-2-df-116,3807,qrp_sweep,5400.173,24.17093046894297,129,True
cvrp-2-df-102,4724,qrp_sweep,6744.1906,29.576204418903217,160,True
cvrp-2-df-108,4199,qrp_sweep,6057.3648,25.835979895899072,140,True
cvrp-2-df-101,4370,qrp_sweep,6170.8664,27.22804405912757,147,True
cvrp-2-df-104,3891,qrp_sweep,5542.7981,24.529545108089224,131,True
cvrp-2-df-94,3907,qrp_sweep,5584.995,24.490663693053648,133,True
cvrp-2-df-119,3662,qrp_sweep,5476.1365,22.660912093007937,126,True
